KEY;SL;Record_Detail_Level;Metodologia;Horas;Horas PMO;;;;;;;;;;;;;;
MSU | L6 | MSC003 - Market Structure;MSU;L6;MSC003 - Market Structure;150;;;;;;;;;;;;;;;
MSU | L7 | MSC003 - Market Structure;MSU;L7;MSC003 - Market Structure;140;;;;;;;;;;;;;;;
MSU | L4 | MSC005 - U&A;MSU;L4;MSC005 - U&A;20;;;;;;;;;;;;;;;
MSU | L5 | MSC005 - U&A;MSU;L5;MSC005 - U&A;85;;;;;;;;;;;;;;;
MSU | L6 | MSC005 - U&A;MSU;L6;MSC005 - U&A;95;;;;;;;;;;;;;;;
MSU | L7 | MSC005 - U&A;MSU;L7;MSC005 - U&A;140;;;;;;;;;;;;;;;
MSU | L4 | MSC007 - U&A - Templated;MSU;L4;MSC007 - U&A - Templated;15;;;;;;;;;;;;;;;
MSU | L5 | MSC007 - U&A - Templated;MSU;L5;MSC007 - U&A - Templated;69;;;;;;;;;;;;;;;
MSU | L6 | MSC007 - U&A - Templated;MSU;L6;MSC007 - U&A - Templated;80;;;;;;;;;;;;;;;
MSU | L7 | MSC007 - U&A - Templated;MSU;L7;MSC007 - U&A - Templated;120;;;;;;;;;;;;;;;
MSU | L4 | MSC010 - Fast MSU;MSU;L4;MSC010 - Fast MSU;8;;;;;;;;;;;;;;;
MSU | L5 | MSC010 - Fast MSU;MSU;L5;MSC010 - Fast MSU;75;;;;;;;;;;;;;;;
MSU | L6 | MSC010 - Fast MSU;MSU;L6;MSC010 - Fast MSU;95;;;;;;;;;;;;;;;
MSU | L7 | MSC010 - Fast MSU;MSU;L7;MSC010 - Fast MSU;130;;;;;;;;;;;;;;;
MSU | L4 | CSI002 - SI: Shopper Insights;MSU;L4;CSI002 - SI: Shopper Insights;8;;;;;;;;;;;;;;;
MSU | L5 | CSI002 - SI: Shopper Insights;MSU;L5;CSI002 - SI: Shopper Insights;75;;;;;;;;;;;;;;;
MSU | L6 | CSI002 - SI: Shopper Insights;MSU;L6;CSI002 - SI: Shopper Insights;95;;;;;;;;;;;;;;;
MSU | L7 | CSI002 - SI: Shopper Insights;MSU;L7;CSI002 - SI: Shopper Insights;130;;;;;;;;;;;;;;;
