BI;sp_TransferiListaJob
dbo;CU_Estudios_Get
dbo;CU_Estudios_Presupuestos_Add
dbo;CU_Estudios_Presupuestos_Asignados_Get
dbo;CU_InfoGeneralJobBook_GET
dbo;CU_MuestraAnuncioAprobacion
dbo;CU_OrigenPropuesta_Get
dbo;CU_Paises_Get
dbo;CU_PQR_Add
dbo;CU_PQR_Cerrar
dbo;CU_PQR_Del
dbo;CU_PQR_Edit
dbo;CU_PQR_Get
dbo;CU_PQRActas_Add
dbo;CU_Presupuesto_Get
dbo;CU_Presupuestos_JobBook_Edit
dbo;CU_PresupuestosRevisionPorGerenteOperaciones
dbo;CU_ProbabilidadAprobacion_Get
dbo;CU_ProductoInterno_Add
dbo;CU_ProductoInterno_Del
dbo;CU_ProductoInterno_Edit
dbo;CU_ProductoInterno_EditCant
dbo;CU_ProductoInterno_Get
dbo;CU_ProductoInterno_GetEnvia
dbo;CU_ProductoInterno_GetRecibe
dbo;CU_Propuesta_Presupuestos_TecnicaMetodologia
dbo;CU_Propuestas_Add
dbo;CU_Propuestas_Add2
dbo;CU_Propuestas_Del
dbo;CU_Propuestas_Edit
dbo;CU_Propuestas_Edit_HabeasData
dbo;CU_Propuestas_Edit_Seguimiento
dbo;CU_Propuestas_Edit2
dbo;CU_Propuestas_Get
dbo;CU_Propuestas_Get2
dbo;CU_PropuestasRevisionPorGerenteOperaciones
dbo;CU_RazonesNoAprobacion_Get
dbo;CU_Sectores_GET
dbo;CU_SeguimientoPropuestas_Add
dbo;CU_SeguimientoPropuestas_Get
dbo;CU_TipoBrief_Get
dbo;CU_TipoCliente_Get
dbo;CU_TipoMovimientoProductoInterno_GetCombo
dbo;CU_TipoPropuesta_Get
dbo;CU_Trabajos_Get
dbo;DD_ActualizarDuracion
dbo;DD_RecalcularCostoOperacionTotal
dbo;DD_RecalcularGMCU_Presupuestos
dbo;Divipola_Get
dbo;Divipola_Get_Dpto
dbo;DW_TRACK_NUTRESA_GET_SRVY_DATA
dbo;EQ_Quote_Get
dbo;EQ_Quote_Save
dbo;ES_BriefDisenoMuestral_Add
dbo;ES_BriefDisenoMuestral_Del
dbo;ES_BriefDisenoMuestral_Edit
dbo;ES_BriefDisenoMuestral_Get
dbo;ES_DisenoMuestral_Add
dbo;ES_DisenoMuestral_Del
dbo;ES_DisenoMuestral_Edit
dbo;ES_DisenoMuestral_Get
dbo;ES_MetodologiaCampo_Add
dbo;ES_MetodologiaCampo_Del
dbo;ES_MetodologiaCampo_Edit
dbo;ES_MetodologiaCampo_Get
dbo;ES_MetodologiaCampo_NumVersiones
dbo;ES_MetodologiaCampoTr
dbo;ES_ObtenerMetodologiaXIdxTr
dbo;Existe_RSSR_Id
dbo;FI_AprobacionFacturasRadicadasXUsuarioXOrden
dbo;FI_AprobarFactura
dbo;FI_AprobarOC
dbo;FI_AprobarOR
dbo;FI_AprobarOS
dbo;FI_CentroCosto_Get
dbo;FI_CentroCostos_Get
dbo;FI_ContinuarAprobacionCompra
dbo;FI_ContinuarAprobacionRequerimiento
dbo;FI_ContinuarAprobacionServicio
dbo;FI_DuplicarDetalleOrdenCompra
dbo;FI_DuplicarDetalleOrdenRequerimiento
dbo;FI_DuplicarDetalleOrdenServicio
dbo;FI_EstadosFactura_Get
dbo;FI_EvaluarFactura
dbo;FI_FacturasPendientesAprobacion_Get
dbo;FI_FacturasPendientesEvaluacion_Get
dbo;FI_FacturasRadicadas_Del
dbo;FI_FacturasRadicadas_Detalle_Del
dbo;FI_FacturasRadicadas_Detalle_Get
dbo;FI_FacturasRadicadas_Detalle_Ordenes
dbo;FI_FacturasRadicadas_Get
dbo;FI_FacturasRadicadas_LlaveCompuesta_Get
dbo;FI_FacturasRadicadasGET
dbo;FI_FacturasRadicadasNew_Get
dbo;FI_JBE_JBI_CC_Get
dbo;FI_LogAprobacion_FacturasUsuarios_Del
dbo;FI_LogAprobacion_OrdenCompra_Del
dbo;FI_LogAprobacion_OrdenRequerimiento_Del
dbo;FI_LogAprobacion_OrdenServicio_Del
dbo;FI_LogAprobacionFacturasUsuarios_Add
dbo;FI_LogAprobacionFacturasUsuarios_Del
dbo;FI_LogAprobacionFacturasUsuarios_Get
dbo;FI_LogAprobacionOrdenCompra_Add
dbo;FI_LogAprobacionOrdenCompra_Del
dbo;FI_LogAprobacionOrdenCompra_get
dbo;FI_LogAprobacionOrdenRequerimiento_Add
dbo;FI_LogAprobacionOrdenRequerimiento_Del
dbo;FI_LogAprobacionOrdenRequerimiento_get
dbo;FI_LogAprobacionOrdenServicio_Add
dbo;FI_LogAprobacionOrdenServicio_Del
dbo;FI_LogAprobacionOrdenServicio_get
dbo;FI_LogEvaluacionProveedor_Facturas_Del
dbo;FI_LogEvaluacionProveedorFacturas_Add
dbo;FI_LogEvaluacionProveedorFacturas_Del
dbo;FI_LogEvaluacionProveedorFacturas_Get
dbo;FI_LogOrdenes_Add
dbo;FI_NivelesAprobacion_Get
dbo;FI_ObservacionesLogAprobacionOrdenCompra
dbo;FI_ObservacionesLogAprobacionOrdenRequerimiento
dbo;FI_ObservacionesLogAprobacionOrdenServicio
dbo;FI_ObtenerUsuarioAprobacionRequerimiento
dbo;FI_OrdenDetalle_Get
dbo;FI_OrdenesDeCompra_Get
dbo;FI_OrdenesDeCompraPendientesAprobacion_Get
dbo;FI_OrdenesDeRequerimiento_Get
dbo;FI_OrdenesDeRequerimientoPendientesAprobacion_Get
dbo;FI_OrdenesDeServicio_Get
dbo;FI_OrdenesDeServicioPendientesAprobacion_Get
dbo;FI_QuejasReclamosProveedores_Get
dbo;FI_UsuarioAprobacionOrdenCompra
dbo;FI_UsuarioAprobacionOrdenRequerimiento
dbo;FI_UsuarioAprobacionOrdenServicio
dbo;GD_CorreosUsuario_Get
dbo;GD_DocumentosControlados_Activo
dbo;GD_DocumentosControlados_Add
dbo;GD_DocumentosMaestros_Update
dbo;GD_DocumentosOtroServidor_Get
dbo;GD_EscanerDocumentos_Add
dbo;GD_EscanerDocumentos_Del
dbo;GD_EscanerDocumentos_Edit
dbo;GD_EscanerDocumentos_Get
dbo;GD_Estados_Get
dbo;GD_EstadoSolicitud_Add
dbo;GD_EstadoSolicitud_Del
dbo;GD_EstadoSolicitud_Edit
dbo;GD_EstadoSolicitud_Get_F
dbo;GD_GD_MaestroDocumentos_Get2
dbo;GD_GD_RepositorioDocumentos_Add
dbo;GD_MaestroDocumentos_Add
dbo;GD_MaestroDocumentos_Add2
dbo;GD_MaestroDocumentos_Get
dbo;GD_Procesos_Add
dbo;GD_Procesos_Del
dbo;GD_Procesos_Edit
dbo;GD_Procesos_Get
dbo;GD_Procesos_Get_F
dbo;GD_RepositorioDocumentos_Get
dbo;GD_RepositorioDocumentos_GetXTrabajo
dbo;GD_Revisiones_Add
dbo;GD_Revisiones_Edit
dbo;GD_Revisiones_Get
dbo;GD_Revisiones_GetRev
dbo;GD_SolDocumentos_Add
dbo;GD_TipoSolicitud_Add
dbo;GD_TipoSolicitud_Del
dbo;GD_TipoSolicitud_Edit
dbo;GD_TipoSolicitud_Get
dbo;GD_TipoSolicitud_Get_F
dbo;GD_US_Usuarios_Get
dbo;INV_Articulos_Get
dbo;INV_Asignaciones_Add
dbo;INV_Asignaciones_Del
dbo;INV_Asignaciones_Edit
dbo;INV_Asignaciones_Get
dbo;INV_BU_Get
dbo;INV_Camaras_Get
dbo;INV_EstadoArticulo_Get
dbo;INV_EstadoConsumible_Get
dbo;INV_EstadoTablet_Get
dbo;INV_Legalizaciones_Add
dbo;INV_Legalizaciones_Del
dbo;INV_Legalizaciones_Edit
dbo;INV_Legalizaciones_Get
dbo;INV_LogAsignaciones_Add
dbo;INV_MantenimientoEquipos_Add
dbo;INV_MantenimientoEquipos_Edit
dbo;INV_MantenimientoEquipos_Get
dbo;INV_Papeleria_Get
dbo;INV_Perifericos_Get
dbo;INV_RegistroArticulos_Add
dbo;INV_RegistroArticulos_Asignado_Edit
dbo;INV_RegistroArticulos_Del
dbo;INV_RegistroArticulos_Edit
dbo;INV_RegistroArticulos_Get
dbo;INV_ReporteLegalizaciones
dbo;INV_ReporteRemanente
dbo;INV_Sede_Get
dbo;INV_StockConsumibles_Add
dbo;INV_StockConsumibles_Get
dbo;INV_StockxLegalizar_Get
dbo;INV_TipoLegalizacion_Get
dbo;INV_TipoMovimiento_Get
dbo;INV_ValorBono_Get
dbo;IQ_ActiviadesXTrabajo
dbo;IQ_ActividadesGet
dbo;IQ_ActividadesSubcontratadas
dbo;IQ_ActividadesSubcontratadasMigracion
dbo;IQ_ActividadesSubcontratadasRecalculo
dbo;IQ_ActualizarDatosTodoElProceso
dbo;IQ_ActualizarRevisadoAprobado
dbo;IQ_ActualizarValoresTotales
dbo;IQ_AjustarGM
dbo;IQ_AjustarVenta
dbo;IQ_AjustarVentaSimulacion
dbo;IQ_AjusteCostoOperaciones
